fold,model,stage,n,positive_rate,roc_auc,average_precision,brier,log_loss,lift_top_10pct,recall_top_20pct
3,pooled_nn_calibrated,MACRO,1974.0,0.43781610560796574,0.5340588781653054,0.4738560096859481,0.24184993560019133,0.676410157564756,1.1360230546240275,0.22557576075184294
3,separate_logistic,T0_cold,484.0,0.4793388429752066,0.47986795292829776,0.4726950835964575,0.3123558234086628,0.8478679862801325,1.0218156228008444,0.1896551724137931
3,separate_logistic,T1_first_inquiry,483.0,0.4865424430641822,0.48697666437886067,0.5069370919418608,0.28695220836553254,0.7820397467898497,1.2164133738601823,0.20425531914893616
3,separate_logistic,T2_engaged,1007.0,0.34756703078450846,0.5464405305501197,0.36958611226534777,0.23567574009742104,0.669684872529082,1.167949080622348,0.24285714285714285
3,separate_logistic,MACRO,1974.0,0.43781610560796574,0.5044283826190927,0.4497394292678887,0.27832792395720546,0.7665308685330214,1.1353926924277917,0.2122558781399574
3,specialist_random_forest_calibrated,T0_cold,484.0,0.4793388429752066,0.5095101258894362,0.4974990399454342,0.2510417061697618,0.69528185060291,1.0643912737508796,0.22413793103448276
3,specialist_random_forest_calibrated,T1_first_inquiry,483.0,0.4865424430641822,0.5821036376115305,0.5491028059834772,0.24612485314602808,0.6852150986110351,1.2583586626139818,0.23829787234042554
3,specialist_random_forest_calibrated,T2_engaged,1007.0,0.34756703078450846,0.657055881713416,0.49354259483188934,0.21298006741711892,0.6151873632937204,1.652220650636492,0.31142857142857144
3,specialist_random_forest_calibrated,MACRO,1974.0,0.43781610560796574,0.5828898817381275,0.5133814802536002,0.23671554224430294,0.6652281041692218,1.3249901956671177,0.2579547916011599
3,specialist_extra_trees_calibrated,T0_cold,484.0,0.4793388429752066,0.5131191844553913,0.49837416889170955,0.2506450137813415,0.6944805581377952,1.192118226600985,0.22844827586206898
3,specialist_extra_trees_calibrated,T1_first_inquiry,483.0,0.4865424430641822,0.4879547014413178,0.48688438501733244,0.2516203959493548,0.6964187931204902,1.0486322188449848,0.20851063829787234
3,specialist_extra_trees_calibrated,T2_engaged,1007.0,0.34756703078450846,0.597934333550772,0.4335600168703383,0.22201528911307242,0.6352554466865953,1.3388684582743988,0.24
3,specialist_extra_trees_calibrated,MACRO,1974.0,0.43781610560796574,0.533002739815827,0.4729395235931267,0.2414268996145896,0.6753849326482935,1.1932063012401228,0.22565297138664708
3,specialist_lightgbm_calibrated,T0_cold,484.0,0.4793388429752066,0.4923884783798577,0.46284938002051523,0.25129339964031355,0.6957675465846438,0.7663617171006334,0.1896551724137931
3,specialist_lightgbm_calibrated,T1_first_inquiry,483.0,0.4865424430641822,0.5200154426904599,0.5055090666665996,0.2531384368310906,0.6997536682492653,0.8808510638297872,0.2170212765957447
3,specialist_lightgbm_calibrated,T2_engaged,1007.0,0.34756703078450846,0.664633616003479,0.4911280246796907,0.21161312495650425,0.611777498665998,1.4813012729844413,0.2914285714285714
